"id","country","gsa","vessel","gear","rigging","door","year","month","day","haul_number","codend_closing","shooting_time","shooting_quadrant","shooting_latitude","shooting_longitude","shooting_depth","hauling_time","hauling_quadrant","hauling_latitude","hauling_longitude","hauling_depth","hauling_duration","validity","course","recorded_species","distance","vertical_opening","wing_opening","geometrical_precision","bridles_length","warp_length","warp_diameter","hydrological_station","observations","tf","todeb","tofin","method","nstrate","partit","upload_id","s_lat","s_lon"
49613,"SVN",17,"AND","GOC73","GC73","WHS8",2002,9,26,2,"S",935,1,4535.13,1334.7,23,1005,1,4534.87,1333.73,22,30,"V","R",3,2854,24,151,"E",100,250,14,"",6,"TA",21,21,"VA",21111," ",29,45.5855,13.5783333333333
49614,"SVN",17,"AND","GOC73","GC73","WHS8",2003,8,12,179,"S",732,1,4536.21,1339.43,22,802,1,4535.96,1338.51,22,30,"V","R",3,2594,24,151,"E",100,250,14,"",6,"TA",18.4,18.4,"VA",21111," ",29,45.6035,13.6571666666667
49615,"SVN",17,"AND","GOC73","GC73","WHS8",2003,8,12,180,"S",838,1,4534.9,1334.36,22,908,1,4534.53,1333.43,22,30,"V","R",3,2780,24,151,"E",100,250,14,"",6,"TA",18.7,18.7,"VA",21111," ",29,45.5816666666667,13.5726666666667
49616,"SVN",17,"AND","GOC73","GC73","WHS8",2004,7,17,1,"S",447,1,4535.96,1338.91,22,517,1,4535.71,1337.96,22,30,"V","R",3,2668,24,151,"E",100,250,14,"",6,"TA",NA,NA,"",21111," ",29,45.5993333333333,13.6485
49617,"SVN",17,"AND","GOC73","GC73","WHS8",2004,7,17,2,"S",544,1,4534.66,1334.78,22,614,1,4534.35,1333.8,22,30,"V","R",3,2761,24,151,"E",100,250,14,"",6,"TA",NA,NA,"",21111," ",29,45.5776666666667,13.5796666666667
49618,"SVN",17,"AND","GOC73","GC73","WHS8",2005,9,27,1,"S",725,1,4535.87,1338.51,22,751,1,4535.57,1337.69,23,26,"V","R",3,2224,24,151,"E",100,250,14,"",6,"TA",20.6,20.6,"VA",21111," ",29,45.5978333333333,13.6418333333333
49619,"SVN",17,"AND","GOC73","GC73","WHS8",2005,9,27,2,"S",820,1,4534.64,1334.6,22,850,1,4534.07,1333.84,21,30,"V","R",3,2780,24,151,"E",100,250,14,"",6,"TA",20.6,20.6,"VA",21111," ",29,45.5773333333333,13.5766666666667
49620,"SVN",17,"AND","GOC73","GC73","WHS8",2007,2,1,1,"S",713,1,4536.12,1338.84,23,741,1,4535.7,1336.68,24,27,"V","R",3,2912,24,151,"E",100,250,14,"",6,"TA",NA,NA,"",21111," ",29,45.602,13.6473333333333
49621,"SVN",17,"AND","GOC73","GC73","WHS8",2007,2,1,2,"S",810,1,4534.51,1334.62,23,840,1,4533.75,1332.47,22,30,"V","R",3,3166,24,151,"E",100,250,14,"",6,"TA",NA,NA,"",21111," ",29,45.5751666666667,13.577
49622,"SVN",17,"AND","GOC73","GC73","WHS8",2007,7,6,3,"S",605,1,4536.12,1338.95,21,635,1,4535.58,1336.91,22,30,"V","R",3,2837,24,151,"E",100,250,14,"",6,"TA",NA,NA,"",21111," ",29,45.602,13.6491666666667
49623,"SVN",17,"AND","GOC73","GC73","WHS8",2007,7,6,4,"S",658,1,4534.58,1334.58,22,733,1,4533.66,1332.46,21,35,"V","R",3,3246,24,151,"E",100,250,14,"",6,"TA",NA,NA,"",21111," ",29,45.5763333333333,13.5763333333333
49624,"SVN",17,"AND","GOC73","GC73","WHS8",2008,7,31,1,"S",645,1,4536.2,1339.12,22,707,1,4535.75,1337.62,23,22,"V","R",3,2110,24,151,"E",100,250,14,"",6,"TA",18.9,18.9,"VA",21111," ",29,45.6033333333333,13.652
49625,"SVN",17,"AND","GOC73","GC73","WHS8",2008,7,31,2,"S",734,1,4534.54,1334.59,21,757,1,4533.8,1333.35,22,23,"V","R",3,2124,24,151,"E",100,250,14,"",6,"TA",19.4,19.4,"VA",21111," ",29,45.5756666666667,13.5765
49626,"SVN",17,"AND","GOC73","GC73","WHS8",2009,8,6,1,"S",625,1,4536.14,1338.93,22,655,1,4535.55,1336.91,23,31,"V","R",3,2840,24,151,"E",100,250,14,"",6,"TA",19.5,19.5,"VA",21111," ",29,45.6023333333333,13.6488333333333
49627,"SVN",17,"AND","GOC73","GC73","WHS8",2009,8,6,2,"S",719,1,4534.54,1334.64,22,748,1,4533.66,1333.01,21,29,"V","R",3,2718,24,151,"E",100,250,14,"",6,"TA",NA,NA,"",21111," ",29,45.5756666666667,13.5773333333333
49628,"SVN",17,"AND","GOC73","GC73","WHS8",2010,7,23,1,"S",623,1,4536.13,1338.81,22,653,1,4535.49,1336.93,23,30,"V","R",3,2708,24,151,"E",100,250,14,"",6,"TA",16.2,16.2,"VA",21111," ",29,45.6021666666667,13.6468333333333
49629,"SVN",17,"AND","GOC73","GC73","WHS8",2010,7,23,2,"S",721,1,4534.66,1334.86,22,752,1,4533.58,1333.3,21,31,"V","R",3,2859,24,151,"E",100,250,14,"",6,"TA",15.7,15.7,"VA",21111," ",29,45.5776666666667,13.581
49630,"SVN",17,"AND","GOC73","GC73","WHS8",2011,8,2,1,"S",949,1,4536.25,1339.06,22,1019,1,4535.59,1337.13,23,30,"V","R",3,2795,24,151,"E",100,250,14,"",6,"TA",17.3,17.3,"SO",21111," ",29,45.6041666666667,13.651
49631,"SVN",17,"AND","GOC73","GC73","WHS8",2011,8,2,2,"S",1045,1,4534.63,1334.77,23,1116,1,4533.58,1333.12,21,31,"V","R",3,2895,24,151,"E",100,250,14,"",6,"TA",17.7,17.7,"SO",21111," ",29,45.5771666666667,13.5795
